"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",29.162290,207.058706,30000,6.901000,4.832000,15.904000,"void gemmSN_TN_kernel<float, float, float, int=128, int=16, int=2, int=4, int=8, int=9, bool=0>(int, int, int, float const *, int, float const *, int, float*, int, float const *, float const *, float, float, int, int)"
"GPU activities",21.521202,152.805291,12000,12.733000,12.480000,13.088000,"fused_add_add_mean_subtract_multiply_mean_add_power_multiply_multiply_multiply_s_2545676446990777834__1_kernel0"
"GPU activities",14.982028,106.375710,12000,8.864000,5.760000,14.784000,"volta_sgemm_128x64_tn"
"GPU activities",10.730942,76.192059,6000,12.698000,11.808000,14.304000,"volta_sgemm_32x32_sliced1x4_tn"
"GPU activities",2.514075,17.850488,2000,8.925000,5.055000,12.992000,"volta_sgemm_64x32_sliced1x4_tn"
"GPU activities",2.410988,17.118545,7000,2.445000,2.240000,13.120000,"void cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=1, int=0, int=0, int=32, int=0>(cudnnTensorStruct, float const *, cudnn::detail::softmax_fw_kernel_resident<int=2, float, float, int=256, int=1, int=0, int=0, int=32, int=0>, float*, int, float, float*, int, int)"
"GPU activities",2.305080,16.366580,6000,2.727000,2.431000,13.280000,"fused_stack_split_squeeze_add_transpose_squeeze_add_transpose_squeeze_add_transp_16007096316099937251__kernel0"
"GPU activities",2.099584,14.907510,6000,2.484000,2.336000,13.216000,"fused_nn_dense_add_power_multiply_add_multiply_tanh_add_multiply_multiply_kernel0"
"GPU activities",1.970360,13.989994,6000,2.331000,2.208000,2.720000,"fused_multiply_add_kernel0"
"GPU activities",1.920306,13.634599,1000,13.634000,13.279000,14.016000,"fused_add_add_mean_subtract_multiply_mean_add_power_multiply_multiply_multiply_s_2545676446990777834__kernel0"
"GPU activities",1.818357,12.910734,6000,2.151000,2.079000,13.216000,"fused_transpose_4_kernel0"
"GPU activities",1.814012,12.879888,6000,2.146000,2.080000,13.312000,"fused_transpose_5_kernel0"
"GPU activities",1.052132,7.470371,1000,7.470000,7.328000,13.088000,"fused_dyn_strided_slice_kernel0"
"GPU activities",0.831209,5.901768,1000,5.901000,5.791000,6.080000,"fused_dyn_full_kernel0"
"GPU activities",0.809623,5.748503,6000,0.958000,0.512000,1.696000,"[CUDA memcpy DtoH]"
"GPU activities",0.516768,3.669164,1000,3.669000,3.488000,4.064000,"void gemv2T_kernel_val<float, float, float, int=128, int=16, int=2, int=4, bool=0, cublasGemvParams<cublasGemvTensor<float const >, cublasGemvTensor<float>, float>>(float, float, float const )"
"GPU activities",0.406541,2.886532,2000,1.443000,1.248000,13.472000,"fused_expand_dims_concatenate_1_kernel0"
"GPU activities",0.323359,2.295919,3000,0.765000,0.704000,1.120000,"[CUDA memcpy HtoD]"
"GPU activities",0.301622,2.141584,1000,2.141000,2.079000,2.304000,"fused_cast_multiply_expand_dims_subtract_multiply_kernel0"
"GPU activities",0.299798,2.128629,2000,1.064000,0.863000,8.351000,"fused_shape_of_1_kernel0"
"GPU activities",0.278628,1.978322,1000,1.978000,1.856000,2.176000,"fused_reshape_take_kernel0"
"GPU activities",0.249973,1.774867,1000,1.774000,1.728000,1.920000,"fused_cast_like_add_where_kernel0"
"GPU activities",0.243596,1.729588,1000,1.729000,1.695000,1.856000,"fused_nn_dense_add_tanh_kernel0"
"GPU activities",0.234898,1.667828,1000,1.667000,1.631000,1.824000,"fused_one_hot_kernel0"
"GPU activities",0.224099,1.591153,1000,1.591000,1.536000,1.728000,"fused_squeeze_kernel0"
"GPU activities",0.223180,1.584627,1000,1.584000,1.504000,12.320000,"fused_nn_dense_add_kernel0"
"GPU activities",0.214243,1.521172,1000,1.521000,1.471000,13.184000,"fused_strided_slice_strided_slice_concatenate_kernel0"
"GPU activities",0.197158,1.399864,1000,1.399000,1.344000,1.760000,"fused_expand_dims_1_kernel0"
"GPU activities",0.179599,1.275190,1000,1.275000,1.247000,1.408000,"fused_strided_slice_squeeze_1_kernel0"
"GPU activities",0.164352,1.166934,1000,1.166000,1.119000,12.576000,"fused_shape_of_kernel0"
"API calls",64.373694,1315.559163,60000,21.925000,4.417000,964754.828000,"cuLaunchKernel"
"API calls",18.304448,374.074908,58000,6.449000,5.302000,474.837000,"cudaLaunchKernel"
"API calls",6.065161,123.949352,9000,13.772000,8.030000,481.024000,"cudaMemcpy"
"API calls",4.503327,92.031267,3000,30.677000,15.544000,90.077000,"cudaMalloc"
"API calls",3.169874,64.780440,129000,0.502000,0.250000,488.193000,"cudaSetDevice"
"API calls",1.356623,27.724324,3000,9.241000,5.891000,754.737000,"cudaFree"
"API calls",0.909206,18.580789,4000,4.645000,2.362000,22.387000,"cudaStreamSynchronize"
"API calls",0.894883,18.288085,60000,0.304000,0.219000,378.885000,"cudaGetDevice"
"API calls",0.422786,8.640166,58000,0.148000,0.104000,405.021000,"cudaGetLastError"
